system,survey_id,survey_name,data-available,survey_type,survey_org,survey_endDate,building_id,building_name,building_address,building_street,building_city,building_state,building_zip,building_country,Sq. Ft. ,school type,locale,Title 1 (Y/N),building_lon,building_lat,building_constructed,building_renovated,building_leed,building_leed-version,median income,bldg-feat-1,bldg-feat-2,bldg-feat-3,bldg-feat-4,median_income_all_households_zip
CBE,12076.0,GSA IFMA CA6158 USDA - 9550 Micron Ave,,Office,general services administration,2004-06-18,5697.0,ca6158 usda 9550 micron ave,"9550 micron ave, sacramento, ca 95827, usa",9550 micron ave,sacramento,ca,95827,usa,,,,,-121.3418626,38.562383,,,,1,82382.0,,,,,82382.0
CBE,12079.0,GSA IFMA 2004 VA0854 SA 20 Bldg,,Office,general services administration,2004-07-16,5767.0,va0854 sa 20 bldg,"1801 n lynn st, arlington, va 22209, usa",1801 n lynn st,arlington,va,22209,usa,,,,,-77.0705222,38.8967096,,,,1,110824.0,,,,,110824.0
CBE,12081.0,GSA IFMA CO1669 CORPORATE CENTER - NBC - 7301 W MANSFIELD,,Office,general services administration,2004-06-25,5702.0,co1669 corporate center - nbc 7301 w mansfield,"7301 w mansfield ave, lakewood, co 80235, usa",7301 w mansfield ave,lakewood,co,80235,usa,,,,,-105.0781463,39.6474868,1981.0,,,1,69588.0,,,,,69588.0
CBE,12082.0,GSA IFMA CO1929 CORPORATE CENTER - NBC - 7401 W MANSFIELD,,Office,general services administration,2004-06-25,5703.0,co1929 corporate center - nbc 7401 w. mansfield ave,"7401 w mansfield ave, lakewood, co 80235, usa",7401 w mansfield ave,lakewood,co,80235,usa,,,,,-105.0787118,39.6475686,1981.0,,,1,69588.0,,,,,69588.0
CBE,12087.0,GSA IFMA AZ6584 NPS,,Office,general services administration,2004-05-28,5695.0,az6584 nps,"691 scenic view rd, page, az 86040, usa",691 scenic view rd,page,az,86040,usa,,,,,-111.4753317,36.9194174,,,,1,82544.0,,,,,82544.0
CBE,12089.0,GSA IFMA 2004 IN0531 BUILDING 64 GSA FED CENTER,,Office,general services administration,2004-07-14,5723.0,in0531 building 64 gsa fed center,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1941.0,2002.0,,1,,,,,,
CBE,12090.0,GSA IFMA LA1262 BUREAU OF MINERAL MANAGEMENT,,Office,general services administration,2004-06-18,5727.0,la1262 bureau of mineral management,"1201 elmwood park blvd, elmwood, la 70123, usa",1201 elmwood park blvd,elmwood,la,70123,usa,,,,,-90.1889411,29.9640719,,,,1,82639.0,,,,,82639.0
CBE,12091.0,GSA IFMA IA1318 HINDERS & NETCOTT B - DOT,,Office,general services administration,2004-06-01,5717.0,ia1318 hinders & netcott b - dot,"105 6th st, ames, ia 50010, usa",105 6th st,ames,ia,50010,usa,,,,,-93.6107789,42.0271967,,,,1,65701.0,,,,,65701.0
CBE,12092.0,GSA IFMA NE1384 IRS,,Office,general services administration,2004-06-17,5759.0,ne1384 irs,"ontario st, omaha, ne 68124, usa",ontario st,omaha,ne,68124,usa,,,,,-96.0671714,41.2256406,,,,1,96341.0,,,,,96341.0
CBE,12093.0,GSA IFMA KS1483 QUAIL CREST PLACE - USGS,,Office,general services administration,2004-06-17,5724.0,ks1483 quail crest place - usgs,"4821 quail crest pl, lawrence, ks 66049, usa",4821 quail crest pl,lawrence,ks,66049,usa,,,,,-95.305758,38.9597716,,,,1,90755.0,,,,,90755.0
CBE,12094.0,GSA IFMA NM1495 ALBUQUERQUE TELESERVICE - SSA,,Office,general services administration,2004-06-17,5760.0,nm1495 albuquerque teleservice - ssa,"500 lead ave sw, albuquerque, nm 87102, usa",500 lead ave sw,albuquerque,nm,87102,usa,,,,,-106.6537232,35.081493,,,,1,37276.0,,,,,37276.0
CBE,12095.0,GSA IFMA KS1526 TOWNSITE PLAZA - IRS,,Office,general services administration,2004-06-17,5725.0,ks1526 townsite plaza - irs,"120 se 6th ave, topeka, ks 66603, usa",120 se 6th ave,topeka,ks,66603,usa,,,,,-95.6720496,39.0519391,1977.0,1982.0,,,38992.0,,,,,38992.0
CBE,12096.0,GSA IFMA KS1564 FIRST AMERICAN PLACE - USDA,,Office,general services administration,2004-06-17,5726.0,ks1564 first american place - usda,"1303 sw 1st american pl, topeka, ks 66604, usa",1303 sw 1st american pl,topeka,ks,66604,usa,,,,,-95.7560389,39.0424255,,,,1,59690.0,,,,,59690.0
CBE,12097.0,GSA IFMA MO1591 US GEOLOGICAL SURVEY BUILDING,,Office,general services administration,2004-06-17,5753.0,mo1591 us geological survey building,"1400 independence rd, rolla, mo 65401, usa",1400 independence rd,rolla,mo,65401,usa,,,,,-91.7439954,37.953832,,,,1,52768.0,,,,,52768.0
CBE,12098.0,GSA IFMA MO1742 IRS,,Office,general services administration,2004-06-01,5754.0,mo1742 irs,"5800 bannister rd, kansas city, mo 64134, usa",5800 bannister rd,kansas city,mo,64134,usa,,,,,-94.5212256,38.9541509,2006.0,,,1,56475.0,,,,,56475.0
CBE,12099.0,GSA IFMA MO1817 CAPITAL BANK BUILDING - JUSTICE,,Office,general services administration,2004-07-14,5755.0,mo1817 capital bank building - justice,"325 broadway st, cape girardeau, mo 63701, usa",325 broadway st,cape girardeau,mo,63701,usa,,,,,-89.5214874,37.3059758,,,,1,67904.0,,,,,67904.0
CBE,12100.0,GSA IFMA MO1833 IRS,,Office,general services administration,2004-06-25,5756.0,mo1833 irs,"1122 town center boulevard ef, odenton, md 21113, usa",1122 town center boulevard ef,odenton,md,21113,usa,,,,,-76.7088886,39.0883771,,,,1,125081.0,,,,,125081.0
CBE,12101.0,GSA IFMA MO1867 WINCHESTER CENTER - USDA,,Office,general services administration,2004-07-14,5757.0,mo1867 winchester center - usda,"6501 beacon dr, kansas city, mo 64133, usa",6501 beacon dr,kansas city,mo,64133,usa,,,,,-94.5061761,39.0081735,2000.0,,,1,66816.0,,,,,66816.0
CBE,12103.0,GSA IFMA 2004 TN0005 NEW IRS SERVICE CENTER,,Office,general services administration,2004-06-25,5761.0,tn0005 new irs service center,"5333 getwell rd, memphis, tn 38118, usa",5333 getwell rd,memphis,tn,38118,usa,,,,,-89.9413794,35.0019679,1994.0,,,1,42464.0,,,,,42464.0
CBE,12105.0,GSA IFMA FL0066 PAUL G. ROGERS FB CT,,Office,general services administration,2004-06-25,5714.0,fl0066 paul g. rogers fb ct,"701 clematis st, west palm beach, fl 33401, usa",701 clematis st,west palm beach,fl,33401,usa,,,,,-80.0591241,26.714033,1972.0,2000.0,,1,60942.0,,,,,60942.0
CBE,12106.0,GSA IFMA 2004 AL0081 HUGO L. BLACK USCT,,Office,general services administration,2004-06-25,5693.0,al0081 hugo l. black usct,"1729 5th ave n, birmingham, al 35203, usa",1729 5th ave n,birmingham,al,35203,usa,,,,,-86.8111286,33.5162579,1987.0,2000.0,,1,46829.0,,,,,46829.0
CBE,12107.0,GSA IFMA 2004 TN0098 JOE L. EVINS FB,,Office,general services administration,2004-06-25,5762.0,tn0098,"200 administration rd, oak ridge, tn 37830, usa",200 administration rd,oak ridge,tn,37830,usa,,,,,-84.234908,36.02409,1970.0,1994.0,,,70795.0,,,,,70795.0
CBE,12108.0,GSA IFMA 2004 GA1009 ANNEX II - FDA,,Office,general services administration,2004-07-02,5715.0,ga1009 annex ii - fda,"70 8th st ne, atlanta, ga 30309, usa",70 8th st ne,atlanta,ga,30309,usa,,,,,-84.3846112,33.7795314,1997.0,,,1,111894.0,,,,,111894.0
CBE,12110.0,GSA IFMA 2004 MS2074 U.S. ARMY CORPS OF ENGINEERS  PROJECT,,Office,general services administration,2004-06-25,5758.0,ms2074 u.s. army corps of engineers ¬⊠project,"4155 clay st, vicksburg, ms 39183, usa",4155 clay st,vicksburg,ms,39183,usa,,,,,-90.877882,32.3526456,,,,1,66958.0,,,,,66958.0
CBE,12112.0,GSA IFMA 2004 GA2600 BP BUILDING - OPM,,Office,general services administration,2004-06-25,5716.0,ga2600 bp building - opm,"4685 log cabin dr, macon, ga 31204, usa",4685 log cabin dr,macon,ga,31204,usa,,,,,-83.7109119,32.817672,,,,1,38478.0,,,,,38478.0
CBE,12114.0,GSA IFMA 2004 IL0033 FEDERAL BUILDING - USRRB,,Office,general services administration,2004-06-23,5718.0,il0033 federal building - usrrb,"844 n rush st, chicago, il 60611, usa",844 n rush st,chicago,il,60611,usa,,,,,-87.6266328,41.897972,1923.0,2002.0,,1,124621.0,,,,,124621.0
CBE,12115.0,GSA IFMA 2004 MA0137 IRS CENTER,,Office,general services administration,2004-06-23,5728.0,ma0137 irs center,"1 lowell st, andover, ma 05501, usa",1 lowell st,andover,ma,,usa,,,,,-71.1836419,42.6480473,1966.0,,registered,leed nc 2.2,,,,,,
CBE,12117.0,GSA IFMA 2004 IN0522 BUILDING 61 GSA FED CENTER,,Office,general services administration,2004-07-14,5720.0,in0522 building 61 gsa fed center,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1941.0,2002.0,,1,,,,,,
CBE,12118.0,GSA IFMA 2004 IN0529 BUILDING 66 GSA FED CENTER,,Office,general services administration,2004-07-02,5721.0,in0529 fed center building 66,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1942.0,2002.0,,1,,,,,,
CBE,12119.0,GSA IFMA 2004 IN0530 BUILDING 63 GSA FED CENTER,,Office,general services administration,2004-07-14,5722.0,in0530 building 63 gsa fed center,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1941.0,2002.0,,1,,,,,,
CBE,12121.0,GSA IFMA 2004 WV1250 BPD - BUREAU OF PUBLIC DEBT,,Office,general services administration,2004-06-23,5773.0,wv1250 bpd - bureau of public debt,"200 3rd st, parkersburg, wv 26106, usa",200 3rd st,parkersburg,wv,26106,usa,,,,,-81.5639096,39.2646792,1974.0,1996.0,registered,leed eb o&m,,,,,,
CBE,12122.0,GSA IFMA 2004 VA1405 FEDERAL EXECUTIVE INSTITUTE -  OPM,,Office,general services administration,2004-07-02,5769.0,va1405 federal executive institute - ¬⊠opm,"1301 emmet st n, charlottesville, va 22903, usa",1301 emmet st n,charlottesville,va,22903,usa,,,,,-78.498413,38.0551833,1951.0,,,1,64352.0,,,,,64352.0
CBE,12124.0,GSA IFMA 2004 MD0199 1 WHITE FLINT NORTH - NRC,,Office,general services administration,2004-07-16,5729.0,md0199zz 1 white flint north - nrc,"11555 rockville pike, rockville, md 20852, usa",11555 rockville pike,rockville,md,20852,usa,,,,,-77.111819,39.046866,1986.0,1995.0,,1,121496.0,,,,,121496.0
CBE,12125.0,GSA IFMA 2004 MD0254 2 WHITE FLINT NORTH - NRC,,Office,general services administration,2004-07-16,5735.0,md0254zz 2 white flint north - nrc,"11545 rockville pike, rockville, md 20852, usa",11545 rockville pike,rockville,md,20852,usa,,,,,-77.111338,39.046174,1986.0,,,1,121496.0,,,,,121496.0
CBE,12127.0,GSA IFMA 2004 DC0115 HUBERT HUMPHREY BLDG - HHS (Invite was mistakenly sent to 3 buildings and data could not be separated),,Office,general services administration,2004-07-14,5709.0,dc0115 hubert humphrey bldg - hhs,"200 independence ave sw, washington, dc 20201, usa",200 independence ave sw,washington,dc,20201,usa,,,,,-77.014524,38.8866804,1975.0,,,1,,,,,,
CBE,12129.0,GSA IFMA 2004 MD0210 EXECUTIVE PLAZA - NIH,,Office,general services administration,2004-07-14,5730.0,md0210 executive plaza - nih,"6120 e mockingbird ln, dallas, tx 75214, usa",6120 e mockingbird ln,dallas,tx,75214,usa,,,,,-96.7606517,32.8360009,1985.0,,,1,128917.0,,,,,128917.0
CBE,12131.0,GSA IFMA 2004 MD0252 EXECUTIVE BUILDING - NIH,,Office,general services administration,2004-07-14,5734.0,md0252 executive building - nih,"6100 executive blvd, rockville, md 20852, usa",6100 executive blvd,rockville,md,20852,usa,,,,,-77.1239773,39.048035,1985.0,,registered,leed eb o&m,121496.0,,,,,121496.0
CBE,12136.0,GSA IFMA 2004 MD0294 NIH,,Office,general services administration,2004-06-28,5741.0,md0294 nih,"301 n stonestreet ave, rockville, md 20850, usa",301 n stonestreet ave,rockville,md,20850,usa,,,,,-77.1472581,39.0881918,,,,1,122691.0,,,,,122691.0
CBE,12137.0,GSA IFMA 2004 MD0296 ROCKLEDGE CENTER 2 - NIH - 6705 ROCKLEDGE DRIVE,,Office,general services administration,2004-07-14,5742.0,md0296 rockledge center 1 - nih 6705 rockledge drive,"6705 rockledge dr, bethesda, md 20817, usa",6705 rockledge dr,bethesda,md,20817,usa,,,,,-77.1352433,39.03081,1985.0,,,1,240104.0,,,,,240104.0
CBE,12138.0,GSA IFMA 2004 MD0300 370 WAREHOUSE - HHS,,Office,general services administration,2004-06-22,5744.0,md0300 370 warehouse - hhs,"16071 industrial dr, gaithersburg, md 20877, usa",16071 industrial dr,gaithersburg,md,20877,usa,,,,,-77.193528,39.1240949,,,,1,86103.0,,,,,86103.0
CBE,12139.0,GSA IFMA 2004 MD0304 NIH,,Office,general services administration,2004-07-14,5745.0,md0304 nih,"6006 executive blvd, rockville, md 20852, usa",6006 executive blvd,rockville,md,20852,usa,,,,,-77.1219995,39.0482944,,,,1,121496.0,,,,,121496.0
CBE,12140.0,GSA IFMA 2004 MD0335 MOD II - FDA,,Office,general services administration,2004-07-14,5746.0,md0335 mod ii - fda,"8401 muirkirk rd, laurel, md 20708, usa",8401 muirkirk rd,laurel,md,20708,usa,,,,,-76.8633075,39.0530226,,,,1,83457.0,,,,,83457.0
CBE,12141.0,GSA IFMA 2004 MD0296 ROCKLEDGE CENTER 2 - NIH - 6701 ROCKLEDGE DRIVE,,Office,general services administration,2004-07-14,5743.0,md0296 rockledge center 2 - nih 6701 rockledge drive,"6701 rockledge dr, bethesda, md 20817, usa",6701 rockledge dr,bethesda,md,20817,usa,,,,,-77.1343598,39.0306503,1985.0,,registered,leed-eb:om v2009,240104.0,,,,,240104.0
CBE,12143.0,GSA IFMA 2004 MD0742 CAPITAL GATEWAY BUILDING - NIH,,Office,general services administration,2004-06-28,5748.0,md0742 capital gateway building - nih,"6700 rockledge dr, bethesda, md 20817, usa",6700 rockledge dr,bethesda,md,20817,usa,,,,,-77.1353036,39.0281517,,,,1,240104.0,,,,,240104.0
CBE,12145.0,GSA IFMA 2004 MD1290 TWINPARK - FDA,,Office,general services administration,2004-07-14,5749.0,md1290 twinpark - fda,"12720 twinbrook pkwy, rockville, md 20852, usa",12720 twinbrook pkwy,rockville,md,20852,usa,,,,,-77.116654,39.065196,1967.0,,,1,121496.0,,,,,121496.0
CBE,12146.0,GSA IFMA 2004 MD1324 PARKLAWN OFFICE BUILDING - HHS,,Office,general services administration,2004-07-14,5750.0,md1324 parklawn office building - hhs,"5600 fishers ln, rockville, md 20852, usa",5600 fishers ln,rockville,md,20852,usa,,,,,-77.1123801,39.0621943,1968.0,,,1,121496.0,,,,,121496.0
CBE,12148.0,GSA IFMA 2004 MD1428 PARK BUILDING - HHS,,Office,general services administration,2004-07-14,5752.0,md1428 park building - hhs,"12420 parklawn dr, rockville, md 20852, usa",12420 parklawn dr,rockville,md,20852,usa,,,,,-77.1138526,39.0606401,1974.0,,,1,121496.0,,,,,121496.0
CBE,12149.0,GSA IFMA 2004 DC0116 FRANCIS PERKINS BLDG - LABOR,,Office,general services administration,2004-07-14,5710.0,dc0116 zzfrances perkins bldg - labor,"200 constitution ave nw, washington, dc 20001, usa",200 constitution ave nw,washington,dc,20001,usa,,,,,-77.0136469,38.8920923,1974.0,,registered,leed-eb:om v2009,138730.0,,,,,138730.0
CBE,12150.0,GSA IFMA 2004 DC0013 COMMERCE,,Office,general services administration,2004-07-16,5704.0,dc0013 commerce,"14 street station, new york, ny 10011, usa",14 street station,new york,ny,10011,usa,,,,,-73.9970975,40.7374754,1932.0,2002.0,,1,146571.0,,,,,146571.0
CBE,12151.0,GSA IFMA 2004 MD0221 SS METRO CENTER 2 - NOAA,,Office,general services administration,2004-07-14,5731.0,md0221 ss metro center 2 - noaa,"1325 e w hwy, silver spring, md 20910, usa",1325 e w hwy,silver spring,md,20910,usa,,,,,-77.0311238,38.993106,2004.0,,registered,leed-eb:om v2009,107994.0,,,,,107994.0
CBE,12153.0,GSA IFMA 2004 MD0248 COLONADE AT STATION SQUARE - NOAA,,Office,general services administration,2004-07-14,5733.0,md0248 colonade at station square - noaa,"1100 wayne ave, silver spring, md 20910, usa",1100 wayne ave,silver spring,md,20910,usa,,,,,-77.0284697,38.9942096,1982.0,,,1,107994.0,,,,,107994.0
CBE,12157.0,GSA IFMA 2004 MD0283 AVENEL BUSINESS PARK - NOAA,,Office,general services administration,2004-07-14,5739.0,md0283 avenel business park - noaa,"200 perry pkwy, gaithersburg, md 20877, usa",200 perry pkwy,gaithersburg,md,20877,usa,,,,,-77.2100665,39.1412034,1997.0,,,1,86103.0,,,,,86103.0
CBE,12158.0,GSA IFMA 2004 MD0289 SS METRO CENTER 3 - NOAA,,Office,general services administration,2004-07-14,5740.0,md0289 ss metro center 3 - noaa,"1315 e w hwy, silver spring, md 20910, usa",1315 e w hwy,silver spring,md,20910,usa,,,,,-77.0305984,38.9922855,2004.0,,registered,leed-eb:om v2009,107994.0,,,,,107994.0
CBE,12159.0,GSA IFMA 2004 DC1152 BEA-COMMERCE,,Office,general services administration,2004-07-16,5712.0,dc1152 bea-commerce,"1441 l st nw, washington, dc 20005, usa",1441 l st nw,washington,dc,20005,usa,,,,,-77.0336895,38.9039387,1965.0,,,1,111960.0,,,,,111960.0
CBE,12161.0,GSA IFMA 2004 MD1413 WORLD WEATHER - NOAA,,Office,general services administration,2004-07-14,5751.0,md1413 world weather - noaa,"5200 auth rd, camp springs, md 20746, usa",5200 auth rd,camp springs,md,20746,usa,,,,,-76.9180351,38.8230921,1973.0,,,1,78391.0,,,,,78391.0
CBE,12162.0,GSA IFMA 2004 DC0093 FORRESTAL NORTH - DOE,,Office,general services administration,2004-07-14,5706.0,dc0093zz-forrestal north,"1000 independence ave sw, washington, dc 20585, usa",1000 independence ave sw,washington,dc,20585,usa,,,,,-77.0255953,38.8870157,1968.0,,,1,,,,,,
CBE,12163.0,GSA IFMA 2004 DC0093 FORRESTAL SOUTH - DOE,,Office,general services administration,2004-07-14,5707.0,forrestal south,"1000 independence ave sw, washington, dc 20585, usa",1000 independence ave sw,washington,dc,20585,usa,,,,,-77.0255953,38.8870157,1970.0,,,1,,,,,,
CBE,12164.0,GSA IFMA 2004 MD0531 DOE MAIN BUILDING GERMANTOWN,,Office,general services administration,2004-07-14,5747.0,md0531 doe main building gtn,"1901 germantown rd, germantown, md 20874, usa",1901 germantown rd,germantown,md,20874,usa,,,,,-77.2624116,39.1811714,1958.0,,,1,109648.0,,,,,109648.0
CBE,12165.0,GSA IFMA 2004 DC0093 FORRESTAL WEST - DOE,,Office,general services administration,2004-07-14,5708.0,forrestal west,"1000 independence ave sw, washington, dc 20585, usa",1000 independence ave sw,washington,dc,20585,usa,,,,,-77.0255953,38.8870157,1970.0,,,1,,,,,,
CBE,12166.0,GSA IFMA 2004 DC0046 STATE,,Office,general services administration,2004-07-16,5705.0,dc0046 state,"2201 c st nw, washington, dc 20037, usa",2201 c st nw,washington,dc,20037,usa,,,,,-77.0484409,38.8942702,1941.0,,,1,98917.0,,,,,98917.0
CBE,12167.0,GSA IFMA 2004 VA0306 CEDAR HILL - STATE,,Office,general services administration,2004-07-16,5765.0,va0306 cedar hill - state,"2216 gallows rd, dunn loring, va 22027, usa",2216 gallows rd,dunn loring,va,22027,usa,,,,,-77.2251572,38.900021,,,,1,,,,,,
CBE,12168.0,GSA IFMA 2004 DC0309 FEDERAL CENTER PLAZA II - STATE,,Office,general services administration,2004-07-16,5711.0,dc0309 federal center plaza ii - state,"400 c st sw, washington, dc 20024, usa",400 c st sw,washington,dc,20024,usa,,,,,-77.017762,38.885871,1982.0,,,1,102623.0,,,,,102623.0
CBE,12169.0,GSA IFMA 2004 VA0322 VA95 BUILDING 6 - STATE,,Office,general services administration,2004-07-16,5766.0,va0322 va95 building 6 - state,"7500 boston blvd, springfield, va 22153, usa",7500 boston blvd,springfield,va,22153,usa,,,,,-77.205898,38.739091,,,,1,169638.0,,,,,169638.0
CBE,12170.0,GSA IFMA 2004 DC1257 COLUMBIA PLAZA - STATE,,Office,general services administration,2004-07-16,5713.0,dc1257 columbia plaza - state,"2401 e st nw, washington, dc 20037, usa",2401 e st nw,washington,dc,20037,usa,,,,,-77.0505704,38.8964052,1966.0,,,1,98917.0,,,,,98917.0
CBE,12171.0,GSA IFMA 2004 VA1432 POMPONIO PLAZA EAST - STATE,,Office,general services administration,2004-07-16,5770.0,va1432 pomponio plaza east - state,"1800 n kent st, arlington, va 22209, usa",1800 n kent st,arlington,va,22209,usa,,,,,-77.0700482,38.8964934,1971.0,,,1,110824.0,,,,,110824.0
CBE,12172.0,GSA IFMA 2004 VA1463 BERKLEY BUILDING - STATE,,Office,general services administration,2004-07-16,5771.0,va1463 berkley building - state,"1701 fort myer dr, arlington, va 22209, usa",1701 fort myer dr,arlington,va,22209,usa,,,,,-77.0719255,38.894342,1967.0,,,1,110824.0,,,,,110824.0
