system,survey_id,survey_name,data-available,survey_type,survey_org,survey_endDate,building_id,building_name,building_address,building_street,building_city,building_state,building_zip,building_country,Sq. Ft. ,school type,locale,Title 1 (Y/N),building_lon,building_lat,building_constructed,building_renovated,building_leed,building_leed-version,median income,bldg-feat-1,bldg-feat-2,bldg-feat-3,bldg-feat-4
CBE,12047,GSA Tenant Satisfaction - Las Vegas,,Courtroom,general services administration,2003-12-19,5651,"gsa poe las vegas, nv","333 s las vegas blvd, las vegas, nv 89101, usa",333 s las vegas blvd,las vegas,nv,89101,usa,,,,,-115.1424758,36.1652054,,,,,38653,,,,
CBE,12049,GSA Workplace 20.20 pilot Coast guard Alameda Division S,,Office,general services administration,2003-12-03,5663,coast guard island alameda,"coast guard island, alameda, ca 94501, usa",coast guard island,alameda,ca,94501,usa,,,,,-122.2492238,37.7820305,1992,1992,,1,119500,,,,
CBE,12050,GSA Workplace 20.20 pilot Corp of Engineers Seattle,,Office,general services administration,2003-12-22,5674,u.s. army corps of engineers headquarters,"4735 e marginal way s bldg 1202, seattle, wa 98134, usa",4735 e marginal way s bldg 1202,seattle,wa,98134,usa,,,,,-122.3448955,47.5597599,1932,,,1,66119,,,,
CBE,12058,Indoorium - Halton Kausala,,Office,halton,2004-02-20,5677,indoorium - halton kausala,"haltonintie 1-3, 47400 kausala, finland",haltonintie 1-3,,,,finland,,,,,26.3918125,60.8836394,1985,1985,,1,,,,,
CBE,12059,Indoorium - Halton Lahti,,Office,halton,2004-02-20,5678,indoorium - halton lahti,"pulttikatu 2, 15700 lahti, finland",pulttikatu 2,,,,finland,,,,,25.6030929,60.9462668,1989,,,1,,,,,
CBE,12063,Indoorium - ISS Palvelut,,Office,fortum,2004-04-04,5683,indoorium - iss palvelut,,,,,,finland,,,,,,,1988,,,1,,,,,
CBE,12065,Pennsylvania Department of Environmental Protection Cambria office building UFAD module LEED NC 2.0 (gold),,Office,"miller brothers construction, inc.",2004-04-23,5685,ufad cambria leed nc gold,"286 industrial park rd, ebensburg, pa 15931, usa",286 industrial park rd,ebensburg,PA,15931,usa,,,,,-78.7589208,40.4632233,2000,,gold,leed nc 2.0,62772,,,,
CBE,12066,Indoorium - VTT Headquarters Espoo,,Office,senaatti,2004-04-18,5686,indoorium - vtt espoo,"vuorimiehentie 5, 02150 espoo, finland",vuorimiehentie 5,,,,finland,,,,,24.8280796,60.1828465,1975,,,1,,,,,
CBE,12071,GSA Workplace 20.20 pilot Coast guard V - MODIFIED s306,,Office,general services administration,2004-04-05,5684,gsa wp 20.20 pilot coastguard v,"coast guard island, alameda, ca, usa",coast guard island,alameda,CA,,usa,,,,,-122.2490817,37.7819983,1960,1982,,,,,,,
CBE,12072,Keen Engineering - Toronto office (reused survey_id from id 234),,Office,the stirling corporation,2004-08-06,5774,keen engineering - toronto office,,,,,,canada,,,,,,,1930,1998,,1,,,,,
CBE,12075,GSA IFMA AZ5427 BLDGS 4 & 5 - USGS,,Office,general services administration,2004-06-17,5694,az5427 bldgs 4 & 5 - usgs,"2255 n gemini rd, flagstaff, az 86001, usa",2255 n gemini rd,flagstaff,az,86001,usa,,,,,-111.6341129,35.2144074,2002,,,1,62587,,,,
CBE,12076,GSA IFMA CA6158 USDA - 9550 Micron Ave,,Office,general services administration,2004-06-18,5697,ca6158 usda 9550 micron ave,"9550 micron ave, sacramento, ca 95827, usa",9550 micron ave,sacramento,ca,95827,usa,,,,,-121.3418626,38.562383,,,,1,82382,,,,
CBE,12079,GSA IFMA 2004 VA0854 SA 20 Bldg,,Office,general services administration,2004-07-16,5767,va0854 sa 20 bldg,"1801 n lynn st, arlington, va 22209, usa",1801 n lynn st,arlington,va,22209,usa,,,,,-77.0705222,38.8967096,,,,1,110824,,,,
CBE,12081,GSA IFMA CO1669 CORPORATE CENTER - NBC - 7301 W MANSFIELD,,Office,general services administration,2004-06-25,5702,co1669 corporate center - nbc 7301 w mansfield,"7301 w mansfield ave, lakewood, co 80235, usa",7301 w mansfield ave,lakewood,co,80235,usa,,,,,-105.0781463,39.6474868,1981,,,1,69588,,,,
CBE,12082,GSA IFMA CO1929 CORPORATE CENTER - NBC - 7401 W MANSFIELD,,Office,general services administration,2004-06-25,5703,co1929 corporate center - nbc 7401 w. mansfield ave,"7401 w mansfield ave, lakewood, co 80235, usa",7401 w mansfield ave,lakewood,co,80235,usa,,,,,-105.0787118,39.6475686,1981,,,1,69588,,,,
CBE,12087,GSA IFMA AZ6584 NPS,,Office,general services administration,2004-05-28,5695,az6584 nps,"691 scenic view rd, page, az 86040, usa",691 scenic view rd,page,az,86040,usa,,,,,-111.4753317,36.9194174,,,,1,82544,,,,
CBE,12089,GSA IFMA 2004 IN0531 BUILDING 64 GSA FED CENTER,,Office,general services administration,2004-07-14,5723,in0531 building 64 gsa fed center,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1941,2002,,1,,,,,
CBE,12090,GSA IFMA LA1262 BUREAU OF MINERAL MANAGEMENT,,Office,general services administration,2004-06-18,5727,la1262 bureau of mineral management,"1201 elmwood park blvd, elmwood, la 70123, usa",1201 elmwood park blvd,elmwood,la,70123,usa,,,,,-90.1889411,29.9640719,,,,1,82639,,,,
CBE,12091,GSA IFMA IA1318 HINDERS & NETCOTT B - DOT,,Office,general services administration,2004-06-01,5717,ia1318 hinders & netcott b - dot,"105 6th st, ames, ia 50010, usa",105 6th st,ames,ia,50010,usa,,,,,-93.6107789,42.0271967,,,,1,65701,,,,
CBE,12092,GSA IFMA NE1384 IRS,,Office,general services administration,2004-06-17,5759,ne1384 irs,"ontario st, omaha, ne 68124, usa",ontario st,omaha,ne,68124,usa,,,,,-96.0671714,41.2256406,,,,1,96341,,,,
CBE,12093,GSA IFMA KS1483 QUAIL CREST PLACE - USGS,,Office,general services administration,2004-06-17,5724,ks1483 quail crest place - usgs,"4821 quail crest pl, lawrence, ks 66049, usa",4821 quail crest pl,lawrence,ks,66049,usa,,,,,-95.305758,38.9597716,,,,1,90755,,,,
CBE,12094,GSA IFMA NM1495 ALBUQUERQUE TELESERVICE - SSA,,Office,general services administration,2004-06-17,5760,nm1495 albuquerque teleservice - ssa,"500 lead ave sw, albuquerque, nm 87102, usa",500 lead ave sw,albuquerque,nm,87102,usa,,,,,-106.6537232,35.081493,,,,1,37276,,,,
CBE,12095,GSA IFMA KS1526 TOWNSITE PLAZA - IRS,,Office,general services administration,2004-06-17,5725,ks1526 townsite plaza - irs,"120 se 6th ave, topeka, ks 66603, usa",120 se 6th ave,topeka,ks,66603,usa,,,,,-95.6720496,39.0519391,1977,1982,,,38992,,,,
CBE,12096,GSA IFMA KS1564 FIRST AMERICAN PLACE - USDA,,Office,general services administration,2004-06-17,5726,ks1564 first american place - usda,"1303 sw 1st american pl, topeka, ks 66604, usa",1303 sw 1st american pl,topeka,ks,66604,usa,,,,,-95.7560389,39.0424255,,,,1,59690,,,,
CBE,12097,GSA IFMA MO1591 US GEOLOGICAL SURVEY BUILDING,,Office,general services administration,2004-06-17,5753,mo1591 us geological survey building,"1400 independence rd, rolla, mo 65401, usa",1400 independence rd,rolla,mo,65401,usa,,,,,-91.7439954,37.953832,,,,1,52768,,,,
CBE,12098,GSA IFMA MO1742 IRS,,Office,general services administration,2004-06-01,5754,mo1742 irs,"5800 bannister rd, kansas city, mo 64134, usa",5800 bannister rd,kansas city,mo,64134,usa,,,,,-94.5212256,38.9541509,2006,,,1,56475,,,,
CBE,12099,GSA IFMA MO1817 CAPITAL BANK BUILDING - JUSTICE,,Office,general services administration,2004-07-14,5755,mo1817 capital bank building - justice,"325 broadway st, cape girardeau, mo 63701, usa",325 broadway st,cape girardeau,mo,63701,usa,,,,,-89.5214874,37.3059758,,,,1,67904,,,,
CBE,12100,GSA IFMA MO1833 IRS,,Office,general services administration,2004-06-25,5756,mo1833 irs,"1122 town center boulevard ef, odenton, md 21113, usa",1122 town center boulevard ef,odenton,md,21113,usa,,,,,-76.7088886,39.0883771,,,,1,125081,,,,
CBE,12101,GSA IFMA MO1867 WINCHESTER CENTER - USDA,,Office,general services administration,2004-07-14,5757,mo1867 winchester center - usda,"6501 beacon dr, kansas city, mo 64133, usa",6501 beacon dr,kansas city,mo,64133,usa,,,,,-94.5061761,39.0081735,2000,,,1,66816,,,,
CBE,12103,GSA IFMA 2004 TN0005 NEW IRS SERVICE CENTER,,Office,general services administration,2004-06-25,5761,tn0005 new irs service center,"5333 getwell rd, memphis, tn 38118, usa",5333 getwell rd,memphis,tn,38118,usa,,,,,-89.9413794,35.0019679,1994,,,1,42464,,,,
CBE,12105,GSA IFMA FL0066 PAUL G. ROGERS FB CT,,Office,general services administration,2004-06-25,5714,fl0066 paul g. rogers fb ct,"701 clematis st, west palm beach, fl 33401, usa",701 clematis st,west palm beach,fl,33401,usa,,,,,-80.0591241,26.714033,1972,2000,,1,60942,,,,
CBE,12106,GSA IFMA 2004 AL0081 HUGO L. BLACK USCT,,Office,general services administration,2004-06-25,5693,al0081 hugo l. black usct,"1729 5th ave n, birmingham, al 35203, usa",1729 5th ave n,birmingham,al,35203,usa,,,,,-86.8111286,33.5162579,1987,2000,,1,46829,,,,
CBE,12107,GSA IFMA 2004 TN0098 JOE L. EVINS FB,,Office,general services administration,2004-06-25,5762,tn0098,"200 administration rd, oak ridge, tn 37830, usa",200 administration rd,oak ridge,tn,37830,usa,,,,,-84.234908,36.02409,1970,1994,,,70795,,,,
CBE,12108,GSA IFMA 2004 GA1009 ANNEX II - FDA,,Office,general services administration,2004-07-02,5715,ga1009 annex ii - fda,"70 8th st ne, atlanta, ga 30309, usa",70 8th st ne,atlanta,ga,30309,usa,,,,,-84.3846112,33.7795314,1997,,,1,111894,,,,
CBE,12110,GSA IFMA 2004 MS2074 U.S. ARMY CORPS OF ENGINEERS  PROJECT,,Office,general services administration,2004-06-25,5758,ms2074 u.s. army corps of engineers ¬⊠project,"4155 clay st, vicksburg, ms 39183, usa",4155 clay st,vicksburg,ms,39183,usa,,,,,-90.877882,32.3526456,,,,1,66958,,,,
CBE,12112,GSA IFMA 2004 GA2600 BP BUILDING - OPM,,Office,general services administration,2004-06-25,5716,ga2600 bp building - opm,"4685 log cabin dr, macon, ga 31204, usa",4685 log cabin dr,macon,ga,31204,usa,,,,,-83.7109119,32.817672,,,,1,38478,,,,
CBE,12114,GSA IFMA 2004 IL0033 FEDERAL BUILDING - USRRB,,Office,general services administration,2004-06-23,5718,il0033 federal building - usrrb,"844 n rush st, chicago, il 60611, usa",844 n rush st,chicago,il,60611,usa,,,,,-87.6266328,41.897972,1923,2002,,1,124621,,,,
CBE,12115,GSA IFMA 2004 MA0137 IRS CENTER,,Office,general services administration,2004-06-23,5728,ma0137 irs center,"1 lowell st, andover, ma 05501, usa",1 lowell st,andover,ma,5501,usa,,,,,-71.1836419,42.6480473,1966,,registered,leed nc 2.2,,,,,
CBE,12117,GSA IFMA 2004 IN0522 BUILDING 61 GSA FED CENTER,,Office,general services administration,2004-07-14,5720,in0522 building 61 gsa fed center,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1941,2002,,1,,,,,
CBE,12118,GSA IFMA 2004 IN0529 BUILDING 66 GSA FED CENTER,,Office,general services administration,2004-07-02,5721,in0529 fed center building 66,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1942,2002,,1,,,,,
CBE,12119,GSA IFMA 2004 IN0530 BUILDING 63 GSA FED CENTER,,Office,general services administration,2004-07-14,5722,in0530 building 63 gsa fed center,"1201 e 10th st, jeffersonville, in 47190, usa",1201 e 10th st,jeffersonville,in,47190,usa,,,,,-85.7325159,38.2866695,1941,2002,,1,,,,,
CBE,12121,GSA IFMA 2004 WV1250 BPD - BUREAU OF PUBLIC DEBT,,Office,general services administration,2004-06-23,5773,wv1250 bpd - bureau of public debt,"200 3rd st, parkersburg, wv 26106, usa",200 3rd st,parkersburg,wv,26106,usa,,,,,-81.5639096,39.2646792,1974,1996,registered,leed eb o&m,,,,,
CBE,12122,GSA IFMA 2004 VA1405 FEDERAL EXECUTIVE INSTITUTE -  OPM,,Office,general services administration,2004-07-02,5769,va1405 federal executive institute - ¬⊠opm,"1301 emmet st n, charlottesville, va 22903, usa",1301 emmet st n,charlottesville,va,22903,usa,,,,,-78.498413,38.0551833,1951,,,1,64352,,,,
CBE,12124,GSA IFMA 2004 MD0199 1 WHITE FLINT NORTH - NRC,,Office,general services administration,2004-07-16,5729,md0199zz 1 white flint north - nrc,"11555 rockville pike, rockville, md 20852, usa",11555 rockville pike,rockville,md,20852,usa,,,,,-77.111819,39.046866,1986,1995,,1,121496,,,,
CBE,12125,GSA IFMA 2004 MD0254 2 WHITE FLINT NORTH - NRC,,Office,general services administration,2004-07-16,5735,md0254zz 2 white flint north - nrc,"11545 rockville pike, rockville, md 20852, usa",11545 rockville pike,rockville,md,20852,usa,,,,,-77.111338,39.046174,1986,,,1,121496,,,,
CBE,12127,GSA IFMA 2004 DC0115 HUBERT HUMPHREY BLDG - HHS (Invite was mistakenly sent to 3 buildings and data could not be separated),,Office,general services administration,2004-07-14,5709,dc0115 hubert humphrey bldg - hhs,"200 independence ave sw, washington, dc 20201, usa",200 independence ave sw,washington,dc,20201,usa,,,,,-77.014524,38.8866804,1975,,,1,,,,,
CBE,12129,GSA IFMA 2004 MD0210 EXECUTIVE PLAZA - NIH,,Office,general services administration,2004-07-14,5730,md0210 executive plaza - nih,"6120 e mockingbird ln, dallas, tx 75214, usa",6120 e mockingbird ln,dallas,tx,75214,usa,,,,,-96.7606517,32.8360009,1985,,,1,128917,,,,
CBE,12131,GSA IFMA 2004 MD0252 EXECUTIVE BUILDING - NIH,,Office,general services administration,2004-07-14,5734,md0252 executive building - nih,"6100 executive blvd, rockville, md 20852, usa",6100 executive blvd,rockville,md,20852,usa,,,,,-77.1239773,39.048035,1985,,registered,leed eb o&m,121496,,,,
CBE,12136,GSA IFMA 2004 MD0294 NIH,,Office,general services administration,2004-06-28,5741,md0294 nih,"301 n stonestreet ave, rockville, md 20850, usa",301 n stonestreet ave,rockville,md,20850,usa,,,,,-77.1472581,39.0881918,,,,1,122691,,,,
CBE,12137,GSA IFMA 2004 MD0296 ROCKLEDGE CENTER 2 - NIH - 6705 ROCKLEDGE DRIVE,,Office,general services administration,2004-07-14,5742,md0296 rockledge center 1 - nih 6705 rockledge drive,"6705 rockledge dr, bethesda, md 20817, usa",6705 rockledge dr,bethesda,md,20817,usa,,,,,-77.1352433,39.03081,1985,,,1,240104,,,,
CBE,12138,GSA IFMA 2004 MD0300 370 WAREHOUSE - HHS,,Office,general services administration,2004-06-22,5744,md0300 370 warehouse - hhs,"16071 industrial dr, gaithersburg, md 20877, usa",16071 industrial dr,gaithersburg,md,20877,usa,,,,,-77.193528,39.1240949,,,,1,86103,,,,
CBE,12139,GSA IFMA 2004 MD0304 NIH,,Office,general services administration,2004-07-14,5745,md0304 nih,"6006 executive blvd, rockville, md 20852, usa",6006 executive blvd,rockville,md,20852,usa,,,,,-77.1219995,39.0482944,,,,1,121496,,,,
CBE,12140,GSA IFMA 2004 MD0335 MOD II - FDA,,Office,general services administration,2004-07-14,5746,md0335 mod ii - fda,"8401 muirkirk rd, laurel, md 20708, usa",8401 muirkirk rd,laurel,md,20708,usa,,,,,-76.8633075,39.0530226,,,,1,83457,,,,
CBE,12141,GSA IFMA 2004 MD0296 ROCKLEDGE CENTER 2 - NIH - 6701 ROCKLEDGE DRIVE,,Office,general services administration,2004-07-14,5743,md0296 rockledge center 2 - nih 6701 rockledge drive,"6701 rockledge dr, bethesda, md 20817, usa",6701 rockledge dr,bethesda,md,20817,usa,,,,,-77.1343598,39.0306503,1985,,registered,leed-eb:om v2009,240104,,,,
CBE,12143,GSA IFMA 2004 MD0742 CAPITAL GATEWAY BUILDING - NIH,,Office,general services administration,2004-06-28,5748,md0742 capital gateway building - nih,"6700 rockledge dr, bethesda, md 20817, usa",6700 rockledge dr,bethesda,md,20817,usa,,,,,-77.1353036,39.0281517,,,,1,240104,,,,
CBE,12145,GSA IFMA 2004 MD1290 TWINPARK - FDA,,Office,general services administration,2004-07-14,5749,md1290 twinpark - fda,"12720 twinbrook pkwy, rockville, md 20852, usa",12720 twinbrook pkwy,rockville,md,20852,usa,,,,,-77.116654,39.065196,1967,,,1,121496,,,,
CBE,12146,GSA IFMA 2004 MD1324 PARKLAWN OFFICE BUILDING - HHS,,Office,general services administration,2004-07-14,5750,md1324 parklawn office building - hhs,"5600 fishers ln, rockville, md 20852, usa",5600 fishers ln,rockville,md,20852,usa,,,,,-77.1123801,39.0621943,1968,,,1,121496,,,,
CBE,12148,GSA IFMA 2004 MD1428 PARK BUILDING - HHS,,Office,general services administration,2004-07-14,5752,md1428 park building - hhs,"12420 parklawn dr, rockville, md 20852, usa",12420 parklawn dr,rockville,md,20852,usa,,,,,-77.1138526,39.0606401,1974,,,1,121496,,,,
CBE,12149,GSA IFMA 2004 DC0116 FRANCIS PERKINS BLDG - LABOR,,Office,general services administration,2004-07-14,5710,dc0116 zzfrances perkins bldg - labor,"200 constitution ave nw, washington, dc 20001, usa",200 constitution ave nw,washington,dc,20001,usa,,,,,-77.0136469,38.8920923,1974,,registered,leed-eb:om v2009,138730,,,,
CBE,12150,GSA IFMA 2004 DC0013 COMMERCE,,Office,general services administration,2004-07-16,5704,dc0013 commerce,"14 street station, new york, ny 10011, usa",14 street station,new york,ny,10011,usa,,,,,-73.9970975,40.7374754,1932,2002,,1,146571,,,,
CBE,12151,GSA IFMA 2004 MD0221 SS METRO CENTER 2 - NOAA,,Office,general services administration,2004-07-14,5731,md0221 ss metro center 2 - noaa,"1325 e w hwy, silver spring, md 20910, usa",1325 e w hwy,silver spring,md,20910,usa,,,,,-77.0311238,38.993106,2004,,registered,leed-eb:om v2009,107994,,,,
CBE,12153,GSA IFMA 2004 MD0248 COLONADE AT STATION SQUARE - NOAA,,Office,general services administration,2004-07-14,5733,md0248 colonade at station square - noaa,"1100 wayne ave, silver spring, md 20910, usa",1100 wayne ave,silver spring,md,20910,usa,,,,,-77.0284697,38.9942096,1982,,,1,107994,,,,
CBE,12157,GSA IFMA 2004 MD0283 AVENEL BUSINESS PARK - NOAA,,Office,general services administration,2004-07-14,5739,md0283 avenel business park - noaa,"200 perry pkwy, gaithersburg, md 20877, usa",200 perry pkwy,gaithersburg,md,20877,usa,,,,,-77.2100665,39.1412034,1997,,,1,86103,,,,
CBE,12158,GSA IFMA 2004 MD0289 SS METRO CENTER 3 - NOAA,,Office,general services administration,2004-07-14,5740,md0289 ss metro center 3 - noaa,"1315 e w hwy, silver spring, md 20910, usa",1315 e w hwy,silver spring,md,20910,usa,,,,,-77.0305984,38.9922855,2004,,registered,leed-eb:om v2009,107994,,,,
CBE,12159,GSA IFMA 2004 DC1152 BEA-COMMERCE,,Office,general services administration,2004-07-16,5712,dc1152 bea-commerce,"1441 l st nw, washington, dc 20005, usa",1441 l st nw,washington,dc,20005,usa,,,,,-77.0336895,38.9039387,1965,,,1,111960,,,,
CBE,12161,GSA IFMA 2004 MD1413 WORLD WEATHER - NOAA,,Office,general services administration,2004-07-14,5751,md1413 world weather - noaa,"5200 auth rd, camp springs, md 20746, usa",5200 auth rd,camp springs,md,20746,usa,,,,,-76.9180351,38.8230921,1973,,,1,78391,,,,
CBE,12162,GSA IFMA 2004 DC0093 FORRESTAL NORTH - DOE,,Office,general services administration,2004-07-14,5706,dc0093zz-forrestal north,"1000 independence ave sw, washington, dc 20585, usa",1000 independence ave sw,washington,dc,20585,usa,,,,,-77.0255953,38.8870157,1968,,,1,,,,,
CBE,12163,GSA IFMA 2004 DC0093 FORRESTAL SOUTH - DOE,,Office,general services administration,2004-07-14,5707,forrestal south,"1000 independence ave sw, washington, dc 20585, usa",1000 independence ave sw,washington,dc,20585,usa,,,,,-77.0255953,38.8870157,1970,,,1,,,,,
CBE,12164,GSA IFMA 2004 MD0531 DOE MAIN BUILDING GERMANTOWN,,Office,general services administration,2004-07-14,5747,md0531 doe main building gtn,"1901 germantown rd, germantown, md 20874, usa",1901 germantown rd,germantown,md,20874,usa,,,,,-77.2624116,39.1811714,1958,,,1,109648,,,,
CBE,12165,GSA IFMA 2004 DC0093 FORRESTAL WEST - DOE,,Office,general services administration,2004-07-14,5708,forrestal west,"1000 independence ave sw, washington, dc 20585, usa",1000 independence ave sw,washington,dc,20585,usa,,,,,-77.0255953,38.8870157,1970,,,1,,,,,
CBE,12166,GSA IFMA 2004 DC0046 STATE,,Office,general services administration,2004-07-16,5705,dc0046 state,"2201 c st nw, washington, dc 20037, usa",2201 c st nw,washington,dc,20037,usa,,,,,-77.0484409,38.8942702,1941,,,1,98917,,,,
CBE,12167,GSA IFMA 2004 VA0306 CEDAR HILL - STATE,,Office,general services administration,2004-07-16,5765,va0306 cedar hill - state,"2216 gallows rd, dunn loring, va 22027, usa",2216 gallows rd,dunn loring,va,22027,usa,,,,,-77.2251572,38.900021,,,,1,,,,,
CBE,12168,GSA IFMA 2004 DC0309 FEDERAL CENTER PLAZA II - STATE,,Office,general services administration,2004-07-16,5711,dc0309 federal center plaza ii - state,"400 c st sw, washington, dc 20024, usa",400 c st sw,washington,dc,20024,usa,,,,,-77.017762,38.885871,1982,,,1,102623,,,,
CBE,12169,GSA IFMA 2004 VA0322 VA95 BUILDING 6 - STATE,,Office,general services administration,2004-07-16,5766,va0322 va95 building 6 - state,"7500 boston blvd, springfield, va 22153, usa",7500 boston blvd,springfield,va,22153,usa,,,,,-77.205898,38.739091,,,,1,169638,,,,
CBE,12170,GSA IFMA 2004 DC1257 COLUMBIA PLAZA - STATE,,Office,general services administration,2004-07-16,5713,dc1257 columbia plaza - state,"2401 e st nw, washington, dc 20037, usa",2401 e st nw,washington,dc,20037,usa,,,,,-77.0505704,38.8964052,1966,,,1,98917,,,,
CBE,12171,GSA IFMA 2004 VA1432 POMPONIO PLAZA EAST - STATE,,Office,general services administration,2004-07-16,5770,va1432 pomponio plaza east - state,"1800 n kent st, arlington, va 22209, usa",1800 n kent st,arlington,va,22209,usa,,,,,-77.0700482,38.8964934,1971,,,1,110824,,,,
CBE,12172,GSA IFMA 2004 VA1463 BERKLEY BUILDING - STATE,,Office,general services administration,2004-07-16,5771,va1463 berkley building - state,"1701 fort myer dr, arlington, va 22209, usa",1701 fort myer dr,arlington,va,22209,usa,,,,,-77.0719255,38.894342,1967,,,1,110824,,,,
CBE,12174,Indoorium - YIT Robert Huberin tie 3A,,Office,ilmarinen oy,2004-05-19,5689,indoorium - yit robert huberin tie 3a,"robert huberin tie 3a, 01510 vantaa, finland",robert huberin tie 3a,,,,finland,,,,,24.963607,60.29686,1982,,,,,,,,
CBE,12175,Indoorium - YIT Panuntie 2,,Office,ilmarinen,2004-05-19,5662,indoorium - yit panuntie,"panuntie 11, 00620 helsinki, finland",panuntie 11,,,,finland,,,,,24.9483203,60.2216334,1992,,,1,,,,,
CBE,12176,Indoorium - Halton Vantaa (beta 2),,Office,halton,2004-05-19,5660,indoorium - halton (beta) or vantaa,,,,,,finland,,,,,,,1987,,,1,,,,,
CBE,12177,GSA Workplace 20.20 pilot VARO reno,,Office,general services administration,2004-05-17,5690,gsa wp 20.20 pilot varo reno,"reno, nv, usa",reno,,,,usa,,,,,-119.8138027,39.5296329,2007,,silver,leed nc 2.1,,,,,
CBE,12178,GSA Workplace 20.20 pilot DC COM - COMBINED,,Office,general services administration,2004-05-11,5673,"gsa wp 20.20 pilot washington, d.c. central office mod.","washington, dc, usa",washington,,,,usa,,,,,-77.0368707,38.9071923,,,,,,,,,
CBE,12179,San Mateo County Crime Lab POE LEED (pending),,Office,county of san mateo,2004-06-29,5692,san mateo county occupant (crime lab) poe,"50 tower rd, san mateo, ca 904402, usa",50 tower rd,san mateo,ca,90402,usa,,,,,-118.4228533,34.0899022,2003,,,,182688,,,,
CBE,12185,Johnson Diversey - JDNA building,,Office,johnsondiversey,2004-08-18,5775,johnson diversey - jdna building,"1312 willow rd, mt pleasant, wi 53177, usa",1312 willow rd,mt pleasant,wi,53177,usa,,,,,-87.8801743,42.7188817,1992,2002,gold,leed eb 2.0,77409,,,,
CBE,12186,Johnson Diversey - JDGH building Global Headquarters LEED EB pilot (gold),,Office,johnsondiversey,2004-08-18,5776,johnsondiversey headquarters,"8310 16th st, mt pleasant, wi 53177, usa",8310 16th st,mt pleasant,wi,53177,usa,,,,,-87.8858555,42.7147803,1997,,,,77409,,,,
